Country,Clicks,Impressions,CTR,Position
United States,0,10,0%,39.3
Iran,0,2,0%,1
Spain,0,2,0%,63.5
India,0,1,0%,4
Italy,0,1,0%,4
Philippines,0,1,0%,11
